Freq,normFlux
1929.09,1.00409
1929.10,1.00259
1929.10,0.978972
1929.11,1.01558
1929.12,0.991449
1929.13,1.00902
1929.13,Inf
1929.14,0.932212
1929.15,1.01276
1929.16,1.02721
1929.16,0.974780
1929.17,0.999200
1929.18,1.00510
1929.19,0.990968
1929.20,0.987457
1929.20,0.989928
1929.21,1.01061
1929.22,1.02946
1929.23,1.03024
1929.23,1.00790
1929.24,0.995714
1929.25,1.01960
1929.26,0.976295
1929.26,0.986144
1929.27,0.983157
1929.28,0.976540
1929.29,1.01112
1929.29,1.00694
1929.30,1.01881
1929.31,0.993036
1929.32,1.00558
1929.32,0.995475
1929.33,1.02239
1929.34,0.978954
1929.35,1.02344
1929.35,1.01347
1929.36,1.02920
1929.37,1.00725
1929.38,1.02191
1929.39,0.992249
1929.39,0.990072
1929.40,1.01761
1929.41,0.978910
1929.42,1.01632
1929.42,1.02380
1929.43,1.01668
1929.44,1.00675
1929.45,0.983542
1929.45,0.974768
1929.46,0.945115
1929.47,0.907069
1929.48,1.01172
1929.48,1.01596
1929.49,0.987833
1929.50,1.02254
1929.51,1.01364
1929.51,1.00211
1929.52,1.00413
1929.53,0.995225
1929.54,1.00555
1929.55,1.02752
1929.55,1.01828
1929.56,0.983798
1929.57,0.986942
1929.58,0.992106
1929.58,1.01726
1929.59,1.01884
1929.60,1.01054
1929.61,1.00738
1929.61,0.984440
1929.62,0.999395
1929.63,1.03649
1929.64,0.994335
1929.64,0.999532
1929.65,0.985552
1929.66,0.980073
1929.67,0.993889
1929.68,0.986835
1929.68,0.997086
1929.69,1.00651
1929.70,0.998646
1929.71,0.990675
1929.71,1.01098
1929.72,1.02682
1929.73,1.01233
1929.74,0.968920
1929.74,0.992323
1929.75,0.979479
1929.76,1.00591
1929.77,1.00219
1929.77,0.973307
1929.78,1.00725
1929.79,1.00337
1929.80,1.01521
1929.80,0.995449
1929.81,1.00271
1929.82,0.996760
1929.83,0.988643
1929.84,0.999950
1929.84,0.996146
1929.85,1.00776
1929.86,1.00999
1929.87,1.01887
1929.87,1.01056
1929.88,0.999691
1929.89,1.01316
1929.90,1.01345
1929.90,0.985870
1929.91,1.01442
1929.92,1.03148
1929.93,0.995854
1929.93,0.999798
1929.94,0.974619
1929.95,0.985380
1929.96,1.01052
1929.96,0.987053
1929.97,0.989078
1929.98,1.00685
1929.99,1.00759
1930.00,0.983339
1930.00,0.994576
1930.01,0.968339
1930.02,0.995004
1930.03,1.00583
1930.03,1.01784
1930.04,1.04493
1930.05,1.01271
1930.06,0.981369
1930.06,0.994818
1930.07,0.992150
1930.08,1.00196
1930.09,0.994709
1930.09,0.998709
1930.10,0.986685
1930.11,1.00142
1930.12,0.994936
1930.13,1.00264
1930.13,0.967405
1930.14,0.984767
1930.15,0.987034
1930.16,1.01608
1930.16,1.01574
1930.17,1.00751
1930.18,1.02024
1930.19,0.998211
1930.19,0.996910
1930.20,0.985267
1930.21,1.01308
1930.22,1.00123
